ID,Nombre,Peso,Edad,Raza,cantidadComidaRacion
1,Tim,7.84,19,Pastor Aleman,180.32
2,Lavina,27.32,8,Pastor Aleman,628.36
3,Gerianne,37.03,20,Bloodhound,851.69
4,Naomi,38.91,4,Gran Danes,894.93
5,Isiahi,9.23,3,Pastor Aleman,212.29
6,Matthus,22.52,7,Bulldog,517.96
7,Dionysus,9.41,16,Boxer,216.43
8,Opal,43.49,8,Husky,1000.27
9,Dolli,29.87,5,Boxer,687.01
10,Marillin,24.89,13,Border Collie,572.47
11,Neala,27.12,2,Rottweiler,623.76
12,Margette,8.52,13,Dalmata,195.96
13,Tressa,42.25,3,Bulldog,971.75
14,Lek,35.79,11,Labrador Retriever,823.17
15,Georgiana,38.30,19,Doberman,880.90
16,Brook,18.53,3,Dalmata,426.19
17,Rosalinda,24.90,19,Husky,572.70
18,Bondon,27.93,16,Labrador Retriever,642.39
19,Michele,18.66,17,Rottweiler,429.18
20,Mozes,44.20,13,Husky,1016.60
21,Shaylah,17.19,14,Husky,395.37
22,Read,39.41,16,Bulldog,906.43
23,Valentijn,16.15,19,Border Collie,371.45
24,Gal,38.89,11,Rottweiler,894.47
25,Aurelie,33.15,7,Bulldog,762.45
26,Tanner,10.49,14,Dalmata,241.27
27,Griselda,11.15,14,Border Collie,256.45
28,Kitty,33.20,13,San Bernardo,763.60
29,Verine,42.64,18,San Bernardo,980.72
30,Vincent,41.95,14,Dalmata,964.85
31,Gavrielle,33.31,5,Beagle,766.13
32,Torey,37.86,12,Rottweiler,870.78
33,Anya,36.97,15,Boxer,850.31
34,Giavani,46.59,16,Bloodhound,1071.57
35,Con,31.06,6,San Bernardo,714.38
36,Winnie,14.78,11,Labrador Retriever,339.94
37,Jacquenette,48.85,3,Dalmata,1123.55
38,Granville,42.24,1,Husky,971.52
39,Burgess,30.84,7,Bloodhound,709.32
40,Lurline,45.81,20,Doberman,1053.63
41,Christa,44.92,1,Husky,1033.16
42,Enrica,29.40,12,Husky,676.20
43,Brooke,49.69,3,Dalmata,1142.87
44,Carmencita,12.85,17,Doberman,295.55
45,Lorin,18.96,1,Galgo,436.08
46,Deborah,8.39,11,Bloodhound,192.97
47,Miltie,18.48,7,Beagle,425.04
48,Ethel,37.38,4,Bulldog,859.74
49,Sinclair,12.23,14,Labrador Retriever,281.29
50,Chicky,16.96,10,Rottweiler,390.08
51,Chelsey,7.81,1,Doberman,179.63
52,Cissiee,5.64,16,Gran Danes,129.72
53,Damita,20.92,8,Border Collie,481.16
54,Morgun,28.45,18,Rottweiler,654.35
55,Dunstan,38.50,7,Husky,885.50
56,Fulton,11.55,11,Beagle,265.65
57,Raychel,29.20,2,Dalmata,671.60
58,Fair,7.20,16,San Bernardo,165.60
